Student_ID,Course_Category,Time_Spent(Hours),Videos_Watched,Quizzes_Taken,Quiz_Score,Engagement _Index,Engagement_Level,Completion_Rate,Course_Completion,Completion_Flag ,Student_Status,Completion_Flag
7050,Programming,45,5,8,76.9412,43.35458379,Medium,43.35,Not Completed,0,At Risk,0
8491,Programming,38,17,8,63.1374,52.24518783,Medium,52.25,Not Completed,0,At Risk,0
967,Programming,30,17,8,90.0641,47.75003542,Medium,47.75,Not Completed,0,At Risk,0
5682,Programming,34,20,8,50.567,53.04365702,Medium,53.04,Not Completed,0,At Risk,0
849,Programming,84,16,8,53.6559,74.1695311,Medium,74.17,Not Completed,0,At Risk,0
1016,Programming,52,9,8,86.1039,51.24793104,Medium,51.25,Not Completed,0,At Risk,0
843,Programming,77,19,8,78.3749,73.72589366,Medium,73.73,Not Completed,0,At Risk,0
2590,Programming,97,4,8,60.4786,68.55728279,Medium,68.56,Not Completed,0,At Risk,0
1311,Programming,93,6,8,60.5435,68.64062881,Medium,68.64,Not Completed,0,At Risk,0
7203,Programming,83,5,8,84.3072,62.33942608,Medium,62.34,Not Completed,0,At Risk,0
242,Programming,49,5,8,97.8489,45.52015241,Medium,45.52,Not Completed,0,At Risk,0
5123,Programming,89,5,8,81.3683,65.61585733,Medium,65.62,Not Completed,0,At Risk,0
8556,Programming,40,19,8,59.6689,54.96570001,Medium,54.97,Not Completed,0,At Risk,0
1726,Programming,8,20,8,82.9744,40.21713547,Medium,40.22,Not Completed,0,At Risk,0
2027,Programming,57,19,8,53.7276,63.74278953,Medium,63.74,Not Completed,0,At Risk,0
5964,Programming,94,3,8,70.8838,65.92193978,Medium,65.92,Not Completed,0,At Risk,0
3488,Programming,48,18,8,72.8705,57.79000141,Medium,57.79,Not Completed,0,At Risk,0
7042,Programming,39,16,8,61.4003,51.74535839,Medium,51.75,Not Completed,0,At Risk,0
5994,Programming,40,8,8,65.6951,44.08566075,Medium,44.09,Not Completed,0,At Risk,0
6634,Programming,40,10,8,78.3961,46.09908424,Medium,46.1,Not Completed,0,At Risk,0
5057,Programming,28,15,8,51.2417,44.92779503,Medium,44.93,Not Completed,0,At Risk,0
710,Programming,55,1,8,84.0149,44.7063039,Medium,44.71,Not Completed,0,At Risk,0
8732,Programming,20,20,8,95.016,46.19333992,Medium,46.19,Not Completed,0,At Risk,0
5942,Programming,59,13,8,57.8838,58.29866761,Medium,58.3,Not Completed,0,At Risk,0
8631,Programming,46,3,8,64.9467,41.85601589,Medium,41.86,Not Completed,0,At Risk,0
2960,Programming,63,10,8,65.2636,57.38530595,Medium,57.39,Not Completed,0,At Risk,0
3210,Programming,26,11,8,66.1591,40.08378254,Medium,40.08,Not Completed,0,At Risk,0
5838,Programming,57,8,8,85.1468,52.49417627,Medium,52.49,Not Completed,0,At Risk,0
7153,Programming,89,11,8,94.4677,71.40315362,Medium,71.4,Not Completed,0,At Risk,0
5324,Programming,66,2,8,64.9286,50.95190059,Medium,50.95,Not Completed,0,At Risk,0
6275,Programming,58,10,8,64.7048,55.02335588,Medium,55.02,Not Completed,0,At Risk,0
4356,Programming,56,6,8,75.9024,49.99769443,Medium,50,Not Completed,0,At Risk,0
2994,Programming,42,15,8,92.64,52.21311609,Medium,52.21,Not Completed,0,At Risk,0
7014,Programming,46,19,8,74.1535,58.21636795,Medium,58.22,Not Completed,0,At Risk,0
4609,Programming,57,8,8,88.3071,52.29999991,Medium,52.3,Not Completed,0,At Risk,0
4945,Programming,80,11,8,89.8248,67.20209669,Medium,67.2,Not Completed,0,At Risk,0
8723,Programming,40,18,8,92.0022,54.18521619,Medium,54.19,Not Completed,0,At Risk,0
6373,Programming,68,14,8,65.2833,64.08769259,Medium,64.09,Not Completed,0,At Risk,0
3664,Programming,58,4,8,77.0003,48.96019791,Medium,48.96,Not Completed,0,At Risk,0
494,Programming,65,8,8,87.7794,56.31870148,Medium,56.32,Not Completed,0,At Risk,0
6545,Programming,79,1,8,78.161,56.45930437,Medium,56.46,Not Completed,0,At Risk,0
4671,Programming,67,19,8,56.5668,68.69783414,Medium,68.7,Not Completed,0,At Risk,0
1622,Programming,44,16,8,84.6545,54.14544159,Medium,54.15,Not Completed,0,At Risk,0
4490,Programming,63,10,8,55.3787,57.66724109,Medium,57.67,Not Completed,0,At Risk,0
2924,Programming,59,11,8,91.7543,56.66137743,Medium,56.66,Not Completed,0,At Risk,0
2790,Programming,49,6,8,93.2567,46.47117681,Medium,46.47,Not Completed,0,At Risk,0
1609,Programming,86,16,8,62.149,74.96551467,Medium,74.97,Not Completed,0,At Risk,0
6180,Programming,87,14,8,56.2027,73.45751086,Medium,73.46,Not Completed,0,At Risk,0
4494,Programming,58,17,8,72.6881,61.92638382,Medium,61.93,Not Completed,0,At Risk,0
2254,Programming,29,11,8,62.5364,41.62756187,Medium,41.63,Not Completed,0,At Risk,0
5312,Programming,74,2,8,84.2133,55.07195815,Medium,55.07,Not Completed,0,At Risk,0
4158,Programming,84,15,8,64.2273,72.78254272,Medium,72.78,Not Completed,0,At Risk,0
3167,Programming,86,15,8,60.5419,74.01128878,Medium,74.01,Not Completed,0,At Risk,0
5040,Programming,99,2,8,67.2618,67.58408989,Medium,67.58,Not Completed,0,At Risk,0
2311,Programming,81,12,8,72.8226,68.31385614,Medium,68.31,Not Completed,0,At Risk,0
2382,Programming,65,3,8,62.756,51.44124889,Medium,51.44,Not Completed,0,At Risk,0
2984,Programming,24,20,8,73.1273,47.84127239,Medium,47.84,Not Completed,0,At Risk,0
5910,Programming,49,9,8,57.5636,49.45754214,Medium,49.46,Not Completed,0,At Risk,0
8206,Programming,83,4,8,80.2443,61.58291699,Medium,61.58,Not Completed,0,At Risk,0
3779,Programming,77,13,8,64.8197,67.69154964,Medium,67.69,Not Completed,0,At Risk,0
4551,Programming,58,5,8,61.2701,49.82127045,Medium,49.82,Not Completed,0,At Risk,0
7386,Programming,66,11,8,61.8121,60.14476347,Medium,60.14,Not Completed,0,At Risk,0
6652,Programming,60,1,8,67.6648,47.15000949,Medium,47.15,Not Completed,0,At Risk,0
8435,Programming,69,3,8,73.8081,53.45068653,Medium,53.45,Not Completed,0,At Risk,0
8840,Programming,40,7,8,86.7105,42.876083,Medium,42.88,Not Completed,0,At Risk,0
2328,Programming,52,2,8,84.6963,44.07488086,Medium,44.07,Not Completed,0,At Risk,0
3943,Programming,88,7,8,99.6013,66.89196128,Medium,66.89,Not Completed,0,At Risk,0
770,Programming,90,12,8,87.9961,73.11233079,Medium,73.11,Not Completed,0,At Risk,0
6530,Programming,74,8,8,97.4517,61.21221399,Medium,61.21,Not Completed,0,At Risk,0
813,Programming,78,8,8,94.6981,63.20909037,Medium,63.21,Not Completed,0,At Risk,0
3791,Programming,36,13,8,98.1425,47.0183384,Medium,47.02,Not Completed,0,At Risk,0
6075,Programming,18,16,8,52.8085,40.90395852,Medium,40.9,Not Completed,0,At Risk,0
3496,Programming,71,10,8,80.3995,61.37700859,Medium,61.38,Not Completed,0,At Risk,0
7544,Programming,93,11,8,81.3413,73.6651833,Medium,73.67,Not Completed,0,At Risk,0
7155,Programming,38,9,8,60.8075,43.89349913,Medium,43.89,Not Completed,0,At Risk,0
4572,Programming,82,11,8,78.2462,67.79557036,Medium,67.8,Not Completed,0,At Risk,0
2063,Programming,37,6,8,87.1976,40.67510381,Medium,40.68,Not Completed,0,At Risk,0
2885,Programming,78,6,8,99.203,60.87194308,Medium,60.87,Not Completed,0,At Risk,0
7284,Programming,20,14,8,64.2915,40.15399647,Medium,40.15,Not Completed,0,At Risk,0
5296,Programming,56,0,8,50.0554,43.79086221,Medium,43.79,Not Completed,0,At Risk,0
2275,Programming,72,4,8,56.4958,55.94512114,Medium,55.95,Not Completed,0,At Risk,0
3451,Programming,90,13,8,59.7597,74.18741436,Medium,74.19,Not Completed,0,At Risk,0
7436,Programming,52,15,8,77.4881,56.94134237,Medium,56.94,Not Completed,0,At Risk,0
809,Programming,22,17,8,50.4474,43.94483124,Medium,43.94,Not Completed,0,At Risk,0
2805,Programming,83,14,8,69.6132,71.59377353,Medium,71.59,Not Completed,0,At Risk,0
5428,Programming,28,14,8,52.7242,44.23010276,Medium,44.23,Not Completed,0,At Risk,0
8741,Programming,11,20,8,95.1416,41.68553385,Medium,41.69,Not Completed,0,At Risk,0
7423,Programming,84,15,8,52.1989,72.83398308,Medium,72.83,Not Completed,0,At Risk,0
1573,Programming,51,20,8,77.4884,61.48460403,Medium,61.48,Not Completed,0,At Risk,0
